NAME OF ISSUER      TITLE OF CLASS      CUISP       VALUE       SSHPRNAMT       SSHPRNAMTTYPE       VOTINGSOLE      VOTINGSHARED 
SYMANTEC CORP        COM         871503108        1224        48764       SH       48764        0
TAHOE RES INC        COM         873868103        3459        270300       SH       270300        0
TARGET CORP        COM         87612E106        7491        109075       SH       109075        0
TAUBMAN CTRS INC        COM         876664103        275        3700       SH       3700        0
TE CONNECTIVITY LTD        REG SHS         H84989104        9477        147200       SH       147200        0
TECK RESOURCES LTD        CL B         878742204        3079        171100       SH       171100        0
TELUS CORP        COM         87971M103        14009        425300       SH       425300        0
TESORO CORP        COM         881609101        2594        32600       SH       32600        0
TEVA PHARMACEUTICAL INDS LTD        ADR         881624209        1136        24700       SH       18200        0
TEXAS INSTRS INC        COM         882508104        20477        291781       SH       291781        0
THERMO FISHER SCIENTIFIC INC        COM         883556102        1686        10600       SH       10600        0
TIFFANY  CO NEW        COM         886547108        5172        71204       SH       71204        0
TIME INC NEW        COM         887228104        225        15526       SH       15526        0
TJX COS INC NEW        COM         872540109        1289        17241       SH       17241        0
TOLL BROTHERS INC        COM         889478103        6024        201739       SH       201739        0
TRANSCANADA CORP        COM         89353D107        10394        218600       SH       218600        0
TRI POINTE GROUP INC        COM         87265H109        238        18091       SH       18091        0
TRIPADVISOR INC        COM         896945201        370        5852       SH       5852        0
TURQUOISE HILL RES LTD        COM         900435108        1788        605500       SH       605500        0
TWENTY FIRST CENTY FOX INC        CL A         90130A101        9114        376300       SH       376300        0
ULTA SALON COSMETCS  FRAG I        COM         90384S303        238        1000       SH       1000        0
UNITED PARCEL SERVICE INC        CL B         911312106        12915        118100       SH       118100        0
UNITED RENTALS INC        COM         911363109        19829        252630       SH       252630        0
UNITED THERAPEUTICS CORP DEL        COM         91307C102        13438        113805       SH       113805        0
URBAN OUTFITTERS INC        COM         917047102        1526        44210       SH       44210        0
V F CORP        COM         918204108        15640        279041       SH       279041        0
VALE S A        ADR         91912E105        7784        1415300       SH       1415300        0
VALERO ENERGY CORP NEW        COM         91913Y100        5385        101600       SH       101600        0
VANGUARD INTL EQUITY INDEX F        FTSE EMR MKT ETF         922042858        3025936        80412854       SH       80412854        0
VERISK ANALYTICS INC        COM         92345Y106        252        3100       SH       3100        0
VERIZON COMMUNICATIONS INC        COM         92343V104        2890        55600       SH       55600        0
WAL-MART STORES INC        COM         931142103        6498        90100       SH       90100        0
WASTE MGMT INC DEL        COM         94106L109        948        14863       SH       14863        0
WEATHERFORD INTL PLC        ORD SHS         G48833100        1418        252400       SH       252400        0
WELLCARE HEALTH PLANS INC        COM         94946T106        269        2300       SH       2300        0
WESTERN UN CO        COM         959802109        5026        241400       SH       241400        0
WHIRLPOOL CORP        COM         963320106        10378        64000       SH       64000        0
WILLIS TOWERS WATSON PUB LTD        SHS         G96629103        242        1823       SH       1823        0
WYNDHAM WORLDWIDE CORP        COM         98310W108        916        13600       SH       13600        0
XILINX INC        COM         983919101        5701        104915       SH       104915        0
YAMANA GOLD INC        COM         98462Y100        3416        792668       SH       792668        0
